54,56,57,56,54,51,53,61,
55,57,57,55,54,51,52,61,
55,56,57,56,54,51,52,61,
54,56,57,56,54,51,52,60,
56,56,57,55,54,51,52,61,
55,55,57,57,55,51,54,60,
54,55,58,54,53,52,51,61,
54,55,57,56,54,52,52,61,
54,55,54,54,54,51,52,60,
48,50,46,44,43,46,38,55,
44,48,51,44,47,42,48,49,
55,55,57,55,53,50,51,61,
57,56,57,55,53,51,52,61,
54,55,57,55,53,50,52,60,
50,46,45,49,43,42,46,54,
53,55,44,55,53,52,53,56,
54,54,57,55,53,50,53,62,
55,56,56,54,51,50,51,61,
54,54,57,58,54,51,54,61,
53,56,57,55,52,52,52,65,
54,55,58,55,51,51,52,62,
54,55,57,54,52,50,53,62,
55,56,58,55,51,51,54,63,
56,56,58,53,51,51,54,63,
54,54,58,54,51,51,55,62,
54,56,58,53,50,52,54,65,
57,55,60,54,52,52,54,63,
56,55,57,52,50,52,54,66,
54,55,58,53,51,51,55,65,
54,55,58,53,50,53,55,65,
56,56,58,52,49,53,55,66,
54,55,58,51,51,53,55,65,
54,55,57,52,51,55,55,66,
54,54,58,52,50,54,55,66,
54,55,57,52,51,54,56,64,
54,55,57,51,51,54,54,66,
54,55,57,52,53,54,55,66,
55,55,57,52,52,54,55,66,
54,55,57,52,52,54,55,67,
53,55,56,52,52,55,55,66,
55,55,56,51,52,55,55,68,
55,55,57,51,53,54,56,68,
54,54,56,51,52,55,56,66,
55,54,55,51,54,55,55,68,
55,53,57,51,54,54,55,67,
55,55,58,52,53,55,55,66,
54,53,55,52,54,56,55,68,
53,53,54,51,54,54,55,67,
53,52,54,52,53,56,56,69,
53,52,55,54,54,55,56,68,
53,52,54,53,54,56,55,71,
53,53,55,53,54,55,55,69,
53,53,55,54,55,55,56,68,
56,54,57,54,55,56,56,69,
53,53,56,54,55,55,56,69,
55,54,55,56,55,55,56,69,
53,53,57,54,54,56,57,68,
53,55,57,54,55,55,58,69,
53,54,56,54,55,55,56,67,
52,53,55,55,55,56,56,68,
51,52,57,56,55,55,56,68,
53,53,58,54,55,56,56,68,
51,53,57,55,55,55,55,67,
51,52,57,57,56,54,55,67,
50,52,58,56,55,54,55,68,
51,52,57,55,54,56,56,68,
51,54,57,55,54,55,55,67,
51,52,55,54,54,54,55,69,
